Timestamp,age,gender,sleepAvg,sleepPos,vividity,,wakePos,earlyBirdNightOwl,caffeine,screenTime,comments,scariness,happiness,bizarreness,romance
1/3/2021 5:05:25,15,Male,6,15,3,,13,I dunno what this means.,No,All day when I'm not sleeping.,"Gore is a common element in my dreams, but I'm desenatized to gore so it doesn't bother me. I have many dreams involving rape, which do bother me. Most of the time I'm just a witness, sometimes I'm being raped, and rarely, I'm the rapist. It's very common. ",2,5,4,1
1/3/2021 7:19:04,16,Female,7,21,3,,19,Night owl,No,9,,2,6,5,1
1/3/2021 7:39:57,16,Female,7,1,9,,22,Night owl,No,6,,8,7,7,4
1/3/2021 12:19:21,15,Female,7,14,8,,17,depends,Yes,too much that i don't even know,,2,5,7,1
1/3/2021 13:35:28,14,Female,7,3,6,,2,Night owl,Yes,6,"I can’t fall asleep immediately,cause I have too many thoughts.I just can’t stop thinking about them,so it took me about 30 min to fall asleep.",3,8,5,4
1/3/2021 16:39:59,14,Female,7,3,6,,2,Night owl,Yes,6,"I can’t fall asleep immediately,cause I have too many thoughts.I just can’t stop thinking about them,so it took me about 30 min to fall asleep.",3,8,5,4
1/3/2021 18:37:39,15,Male,7,17,8,,17,Night owl,No,9,,3,7,7,7
1/3/2021 21:00:58,15,Male,7,19,6,,2,Night owl,No,4,,3,4,9,5
1/3/2021 21:22:37,15,Male,7,19,5,,22,Early bird,No,5,,1,5,7,1
1/3/2021 23:24:13,18,Female,7,17,8,,17,Early bird,No,12,,3,5,6,8
1/5/2021 13:43:58,17,Male,9,2,5,,3,Night owl,No,5,"Nightmares went away when I started practicing lucid dreaming, I dont do it as rigorously anymore and my dreams usually are not lucid but learning did allow me to take more control of my dreams and overall made them better.",3,7,9,5
1/5/2021 16:04:05,16,Female,7,3,7,,3,Night owl,No,8,,5,6,3,3
1/7/2021 22:39:41,14,Female,8,18,2,,20,Night owl,No,14 because of school,,1,7,5,7
1/12/2021 13:30:43,17,Male,~7.5,2,10,,12,Night owl,No,5,"I used to have really bad insomnia, but I overcame it. I'm not sure how that will reflect in the data but I'm interested to see!",10,3,7,5
1/12/2021 15:09:50,17,Female,6,2,3,,19,Not entirely sure ,No,6,"The answer to what position I wake up to is actually the opposite of choice 3 but I couldn’t find that as an option so I chose 19. I don’t get dreams a lot so my answers to those questions are beaded off the one/few time(s) I had a happy dream, nightmare, etc. I don’t know if this is useful but I have tried many different sleeping positions including trying to sleep on my side but I can never go to sleep until I’m on my stomach and arms are under my pillow giving support to my head. It could be because of my pillow but I’m not sure. ",7,6,7,7
1/12/2021 16:53:49,16,Female,8,1,7,,2,Night owl,No,6,I often wake up with no circulation in one of my limbs,2,5,9,1
1/12/2021 22:16:45,15,Male,9,2,7,,24,Early bird,No,5,"Yes,I think that it's very interesting ",3,10,8,3
1/13/2021 0:15:01,16,Female,10,17,10,,21,Night owl,No,6,,6,6,8,9
1/13/2021 3:02:03,16,Female,7,24,10,,7,both ,No,6,I love creating my own dreams (lucid dreaming).... it happens almost every night!,3,10,5,10
1/13/2021 5:25:08,15,Female,6,19,10,,12,Night owl,No,4,Takes forever to fall asleep ,4,6,2,6
1/13/2021 6:03:21,15,Female,7,3,6,,1,Night owl,No,8,,7,5,6,7
1/14/2021 1:06:13,15,Female,7,19,8,,12,Night owl,No,7,,2,9,2,8
1/14/2021 7:06:34,14,Female,7,17,8,,5,I get up early but I stay up late.,No,9,"I tend to flail around a lot during my sleep, seen by the change in positions during sleep. I have kicked/thrown/knocked many things like pillows and blankets while I sleep.",6,5,10,1
1/15/2021 16:33:16,18,Female,7,2,7,,1,Night owl,Yes,3,,4,5,6,5
